,Id,Nombre
588,2162,pan blanco frito
589,1066,"pan blanco tipo ""baguette"""
590,2165,pan blanco tostado
591,2166,pan blanco tostado sin sal
592,1067,pan de avena
593,1070,pan de cebada
594,2167,pan de centeno
595,2168,pan de leche
596,1071,pan de maiz
597,2163,pan integral
598,2164,pan integral de molde tostado
599,2169,pan integral sin sal
600,2170,pan integral tostado
601,2171,pan rallado
602,2173,pan tostado integral
603,2174,pan tipo hamburguesa
604,2283,panceta frita
605,2351,panga cruda
606,1008,papaya cruda
607,2239,paraguaya
608,1118,pasta alimenticia con huevo cruda
609,1072,pasta alimenticia con huevo hervida
610,1073,pasta alimenticia con vegetales cruda
611,1117,pasta alimenticia cruda
612,1074,pasta alimenticia integral cruda
613,1076,pasta alimenticia integral hervida
614,1077,pasta alimenticia rellena con carne hervida
615,2240,pasta de fruta
616,2567,pasta de sesamo
617,2175,pastas de te
618,2658,pastel
619,1115,pastel con fruta confitada
620,1116,pastel de chocolate
621,1078,pastel de manzana
622,2402,patata asada
623,2403,patata cruda
624,883,patata frita con aceite s/e sin sal
625,2404,patata hervida
626,2405,patata prefrita congelada
627,884,patata salteada con aceite girasol
628,870,"patatas chips ""lights"""
629,2594,patatas fritas chips
630,2284,pate de higado de cerdo 30% de grasa
631,968,pate de pimienta
632,969,pato entero asado
633,976,pato entero crudo
634,2285,pavo crudo
635,2286,pavo fiambre
636,2287,pavo fiambre bajo en grasa
637,1059,pavo muslo con piel crudo
638,2288,pavo pechuga con piel crudo
639,990,pavo pechuga sin piel a la plancha
640,2406,pepinillos en vinagre
641,2407,pepino
642,2241,pera
643,1013,pera enlatada en almibar
644,831,perca al horno
645,832,perca cruda
646,2352,percebe
647,2289,perdiz cruda
648,2593,perejil fresco
649,1174,pescadilla congelada cruda
650,834,pescadilla rebozada en harina frita
651,2354,pescado generico
652,928,petit liquido sabor fresa
653,924,petit suïsse cereales y fruta
654,926,petit suisse chocolate
655,927,petit suisse fresa
656,1007,petit suisse natural azucarado
657,835,pez espada crudo
658,2356,pez espada emperador plancha
659,977,pichon sin piel asado
660,2357,pijota cruda
661,2592,pimenton en polvo
662,2591,pimienta blanca
663,2590,pimienta negra
664,2408,pimiento morron en conserva
665,2409,pimiento rojo crudo
666,2410,pimiento frito
667,2242,piña
668,2243,piña en almibar
669,1167,piña enlatada en su jugo
670,2244,piñon
671,2203,piñon crudo con cascara
672,2204,pipa de calabaza
673,2205,pipa de girasol
674,2206,pipas de girasol peladas con sal
675,2207,pistacho
676,2589,pizza precocinada
677,2245,platano
678,836,platija al vapor
679,837,platija cruda
680,2290,pollo empanado frito
681,2291,pollo ala con piel cruda
682,980,pollo entero con piel asado
683,2292,pollo entero con piel crudo
684,2293,pollo fiambre
685,2294,pollo fiambre bajo en grasa
686,2295,pollo frito
687,992,pollo muslo con piel asado
688,993,pollo muslo con piel crudo
689,2296,pollo parte sin especificar
690,994,pollo pechuga con piel crudo
691,2297,pollo pechuga plancha
692,2246,pomelo
693,2495,preparado lacteo con omega 3
694,2588,pudding de pasas
695,2411,puerro crudo y congelado
696,2412,puerro en conserva
697,2298,pulmon de cerdo crudo
698,2299,pulmon de cordero crudo
699,2300,pulmon de ternera crudo
700,2471,pulpo
701,2374,pulpo hervido
702,886,pure de patata y queso en copos
703,888,pure de patata con verduras en copos
704,2413,pure de patata en copos
705,2414,pure de patatas y champiñones en copos
706,887,pure de patata con leche
707,691,queso afuega'l pitu
708,692,queso ahumado de aliva
709,2498,queso azul
710,2499,queso brie
711,2500,queso cabra curado
712,2501,queso cabrales
713,929,queso camembert 20-30% mg/es
714,930,queso camembert 60% mg/es
715,693,queso cantabria
716,694,queso casin
717,715,queso castellano
718,700,queso cebreiro
719,1005,queso cheddar
720,2502,queso curado generico
721,705,queso de aracena
722,716,queso de arzua
723,2503,queso de bola
724,696,queso de cadiz
725,931,queso de castilla-la mancha oveja y cabra
726,932,queso de castilla-la mancha oveja vaca y cabra
727,933,queso de castilla-leon oveja y vaca
728,695,queso de murcia al vino
729,706,queso de tenerife
730,707,queso de tietar
731,2504,queso edam
732,2505,queso emmental
733,2506,queso en porciones
734,703,queso flor de guia
735,2507,queso fresco de burgos
736,934,queso fresco cabra
737,939,queso fresco desnatado con frutas
738,940,queso fundido extragraso (>60% mg/es)
739,704,queso gata-hurdes
740,698,queso gaztazarra
741,941,queso gouda
742,711,queso grazalema
743,1011,queso gruyer
744,699,queso herreño
745,717,queso ibores
746,718,queso mahon
747,722,queso majorero
748,2508,queso manchego
749,942,queso manchego en aceite
750,2510,queso mozzarella
751,944,queso munster
752,2511,queso para untar
753,945,queso para untar con finas hierbas
754,947,queso para untar con salmon
755,948,queso para untar natural bajo en calorias
756,2512,queso parmesano
757,708,queso pasiego
758,701,queso pedroches
759,709,queso peñamellera
760,713,queso picon
761,712,queso porrua
762,723,queso raclette
763,2513,queso rallado generico
764,2514,queso roquefort
765,721,queso san simon
766,2515,queso semicurado generico
767,714,queso serrat
768,710,queso servilleta
769,697,queso tetilla
770,2516,queso tierno generico
771,720,queso torta del casar
772,702,queso tupi
773,719,queso zamorano
774,1083,quinoa cruda
775,2415,rabano
776,2301,rabo de toro
777,838,rape a la parrilla
778,2623,rape crudo
779,2624,rape plancha
780,2470,raya cruda
781,2450,"refresco ""tipo gaseosa"""
782,2451,refresco con gas sabor cola sin cafeina
783,2452,refresco con gas sabor cola sin cafeina bajo en calorias
784,2453,refresco de te
785,2454,refresco de te bajo en calorias
786,2455,"refresco tipo ""tonica"""
787,2456,refresco con gas sabor naranja
788,2457,refresco sabor cola
789,2458,refresco sabor cola bajo en calorias
790,1098,refresco sabor limon con gas
791,1097,refresco sabor naranja sin gas
792,2659,regaliz
793,2416,remolacha en conserva
794,2417,repollo
795,2517,requeson
796,1063,riñon de cordero crudo
797,1069,riñon de ternera crudo
798,2625,rodaballo
799,2587,rollito de primavera
800,2586,romero
801,1096,ron
802,2176,rosquilla
803,2418,rucula
804,866,sal de mar
805,2585,sal yodada
806,2303,salami
807,2308,salchicha de pollo fresca
808,2305,salchicha fresca
809,2309,"salchicha tipo ""frankfurt"""
810,988,salchicha tipo pais a la plancha
811,982,salchicha tipo viena
812,2310,salchichon
813,839,salema cruda
814,2626,salmon
815,2627,salmon ahumado
816,2628,salmon plancha
817,2629,salmonete
818,2584,salsa agridulce
819,2583,salsa al curry
820,865,salsa al roquefort
821,2581,salsa barbacoa
822,2580,salsa bechamel
823,2579,salsa boloñesa
824,858,salsa carbonara
825,2577,salsa de queso
826,2575,salsa de soja
827,857,salsa napolitana
828,856,salsa siciliana picante
829,855,salsa vinagreta con aceite de oliva
830,2177,salvado de trigo
831,2569,san jacobo congelado
832,2247,sandia
833,2459,sangria
834,2630,sardina
835,2631,sardina asada
836,2632,sardina enlatada en aceite escurrida
837,2633,sardina enlatada en escabeche
838,2634,sargo crudo
839,2568,seitan
840,2178,semilla de lino
841,1084,semola de trigo cruda
842,1085,semola de trigo hervida
843,2635,sepia
844,1127,sesamo semilla
845,1075,sesos de cerdo crudos
846,1080,sesos de cordero crudos
847,1047,sesos de ternera crudos
848,2419,seta
849,2420,seta plancha
850,2460,sidra
851,1086,sobao
852,2311,sobrasada
853,1110,soda
854,1182,sofrito
855,1124,soja fresca
856,2208,soja frita
857,849,soja germinada en conserva
858,1129,soja seca cruda
859,1122,soja seca remojada hervida
860,2565,sopa de sobre maravilla
861,2564,sopa de sobre sin reconstituir
862,2563,suplemento proteico
863,2562,surimi
864,2561,tabasco
865,891,tapioca hervida
866,1094,te infusion con leche
867,843,tenca cruda
868,2461,tequila
869,1030,ternera costilla cruda
870,991,ternera lomo crudo con grasa separable
871,989,ternera parte s/e asada
872,2315,ternera parte sin especificar cruda con grasa separable
873,984,ternera solomillo asado
874,1029,ternera solomillo sin grasa crudo
875,2317,tocino
876,1121,tofu
877,2421,tomate
878,2560,tomate frito
879,2422,tomate asado
880,2423,tomate maduro pelado y triturado enlatado
881,892,tomate maduro pure
882,2559,tomillo seco
883,2180,torta de aceite
884,779,tortilla a la francesa
885,1088,trigo entero crudo
886,2636,trucha
887,844,trucha ahumada
888,894,trufa cruda
889,785,turron tipo alicante
890,2249,uva blanca
891,2250,uva blanca congelada
892,1017,uva negra cruda
893,2251,uva pasa
894,995,vaca/buey parte s/e asado
895,997,vaca/buey parte s/e estofado
896,996,vaca/buey solomillo a la plancha
897,981,vaca/buey solomillo crudo
898,2709,vacuno higado crudo
899,2707,vacuno mollejas crudas
900,2558,vainilla
901,1095,vermut s/e
902,2637,vieira
903,846,vieja cruda
904,2557,vinagre balsamico
905,2556,vinagre de manzana
906,2124,vinagre de vino
907,2462,vino blanco
908,2463,vino dulce tipo oporto
909,2464,vino rosado
910,2465,vino tinto
911,1092,vodka
912,847,volador crudo
913,2466,whisky
914,2520,yogur griego
